Ano da propositura;Ind. Motivo;Ind. Endereço;Ind. Bairro;Nome;Partido
2008;VAZAMENTO DE ÁGUA NO LOGRADOURO PÚBLICO;RUA MANOEL GOLÇALVES MÃO CHEIA;INSTITUTO DE PREVIDÊNCIA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS - SARJETÃO;RUA ESCARAVELHO DE OURO X RUA LUÍS ALBERTO CALDASDE OLIVEIRA;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA LUÍS ALBERTO CALDAS DE OLIVEIRA X RUA VISCONDEDE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA LUÍS ALBERTO CALDAS DE OLIVEIRA X RUA VISCONDEDE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA LUÍS ALBERTO CALDAS DE OLIVEIRA X RUA VISCONDE DE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS - SARJETÃO;RUA LUÍS ALBERTO CALDAS DE OLIVEIRA X RUA VISCONDE DE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA LUÍS ALBERTO CALDAS DE OLIVEIRA X RUA VOSCONDE DE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA ESCARAVELHO DE OURO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO E/OU READEQUAÇÃO DE ILUMINAÇÃO PÚBLICA EM VIAS;RUA ESCARAVELHO DE OURO X RUA SANTO INÁCIO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;LIMPEZA PÚBLICA - LIMPEZA EM GERAL NO LOGRADOUROPÚBLICO;RUA ESCARAVELHO DE OURO X RUA SANTO INÁCIO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
