;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último);Latitude;Longitude
3307;IND;;240;1993;SR. PREFEITO PERMISSÃO DE USO A TÍTULO PRECÁRIO E GRATUITO DE ÁREA DE PROPRIEDADE MUNICIPAL NA AV. OTAVIANO ALVES DE LIMA AO CLUBE ATLÉTICO CASA VERDE, SOCIEDADE CIVIL-ESPORTIVA, SEM FINS LUCRATIVOS;;AREA MUNICIPAL/CLUBE ATLETICO CASA VERDECESSAO DE AREA/FREGUESIA DO O;OTAVIANO ALVES DE LIMA, AV.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.50918;-46.68504
3308;IND;;241;1993;SR. PREFEITO CAIXA D'ÁGUA DESATIVADA, À ALTURA DE 20 METROS, COM PERIGO DE DESABAR, ESPECIALMENTE COM CHUVA FORTE NA VILA RESI DENCIAL, NA RUA CORONEL LUIS DE FARIA E SOUZA NO. 63, PERTO DA CA SA 10, AMERICANÓPOLIS, AR/VL. MARIANA;;AMERICANOPOLIS/DESABAMENTOCAIXA D'AGUA;LUIS DE FARIA E SOUSA, CEL., R.;;VILA RESIDENCIAL;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.65246;-46.6391599
3309;IND;;242;1993;SR. PREFEITO MUDANÇA DE TERMINAL DE ÔNIBUS DA LINHA DE ÔNIBUS 856-R SOCORRO/LAPA, PARA A RUA GEORGE SCHMIDT, NO 1O. QUARTEIRÃO, LAPA, AR/LAPA;;LAPA/PONTO DE ONIBUSLINHA DE ONIBUS 856R;FAUSTOLO, R.GEORGE SCHMIDT, R.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.52393;-46.69062
3310;IND;;243;1993;SR. PREFEITO LIBERAÇÃO DE ESTACIONAMENTO NA RUA PAULO AFONSO, ENTRE AS RUAS DR. ALMEIDA LIMA E GOMES CARDIM, BRÁS, AR/SÉ;;BRAS/TRAFEGO URBANOESTACIONAMENTO;PAULO AFONSO, R.;AR-MO;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.5439599;-46.61457
3311;IND;;244;1993;SR. PREFEITO REDUTORES DE VELOCIDADE, NA RUA JORGE AUGUSTO PROXIMIDADES DO NO.306, VILA ESPERANÇA, AR/PENHA;;LOMBADAREDUTOR DE VELOCIDADE;JORGE AUGUSTO, R.;AR-PE;VILA ESPERANCA;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.52631;-46.5305899
3312;IND;;245;1993;SR. PREFEITO COLOCAÇÃO DE PLACAS PROIBINDO O ESTACIONAMENTO NA RUA ANTONIO FRANCISWCO DA COSTA, IMIRIM, AR/FÓ;;ESTACIONAMENTO PROIBIDO/SINALIZACAO DE TRANSITOIMIRIM;ANTONIO FRANCISCO DA COSTA, R.;AR-FO;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.49103;-46.65087
3313;IND;;246;1993;SR. PREFEITO LIMPEZA, DESRATIZAÇÃO RECAPEAMENTO ASFÁLTICO, RECE PÇÃO DE ÁGUAS SERVIDAS E ESGOTO, NA RUA DORNELES-ÚLTIMA TRAVESSA DA RUA ZILDA, CASA VERDE ALTA, AR/FÓ;;CASA VERDE/LIMPEZA DE TERRENO/LIMPEZA PUBLICADESRATIZACAO;DORNELES, R.;;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.48779;-46.66374
3314;IND;;247;1993;SR. PREFEITO REDUTOR DE VELOCIDADE NA RUA DOM LOURENÇO LUMINI, PROXIMIDADES DO NO. 40, VILA SANTISTA, LIMÃO, AR/FÓ;;LOMBADAREDUTOR DE VELOCIDADE;LOURENCO LUMINI, DOM, R.;AR-FO;VILA SANTISTA;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.49477;-46.67007
3315;IND;;248;1993;SR. PREFEITO ILUMINAÇÃO PÚBLICA NO PROLONGAMENTO DAAV.NICOLAU JACINTO NO JD. ARTUR ALVIM/JD. NORDESTE, AR/ERMELINO MATARAZZO;;ILUMINACAO PUBLICA;CONJUNTO HABITACIONAL ALFAZEMASNICOLAU JACINTO, AV.;AR-PE;JARDIM ARTUR ALVIM;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.5256599;-46.48142
3316;IND;;249;1993;SR. PREFEITO CONSERTO DE TAMPAS DE BUEIROS NA RUA ERIK ASPLUND EM FRENTE AO NO.5 (FALTA A TAMPA), EM FRENTE AO NO. 6A (TAMPA QUE BRADA), CASA VERDE, AR/FÓ;;CASA VERDEMANUTENCAO DE BUEIRO;ERIK ASPLUND, R.;AR-FO;;WALTER ABRAHAO;PARTIDO PROGRESSISTA REFORMADOR;-23.49018;-46.66711
