;Sigla da Matéria Legislativa;Ano da propositura;Número da propositura;Ano da propositura.1;Ementa (texto em linha única);Ind. Destinatário;Ind. Motivo;Ind. Endereco;Ind. Adm.Regional;Ind. Bairro;Nome;Partido (último)
5265;IND;;2198;1993;SR. PREFEITO / TRANSPORTE COLETIVO NO JD. UMARIZAL, JD. SANDRA MA RIA, E JD. REBOUCAS, CAMPO LIMPO, AR/CAMPO LIMPO;;JARDIM REBOUCAS (AR-CL)/LINHA DE ONIBUSTRANSPORTE COLETIVO URBANO;;AR-CL;JARDIM UMARIZAL;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5278;IND;;2211;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA DE ESGOTOS, LOCAL: JD. SANTA MARIA, BAIRRO: JD. SANTA MARIA.;;LIMPEZA DE ESGOTO;;AR-MP;JARDIM SANTA MARIA (AR-MP;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5279;IND;;2212;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA DE CÓRREGO, LOCAL: JD. SANTA MARIA, BAIRRO: JD. SANTA MARIA.;;LIMPEZA DE CORREGO;;AR-MP;JARDIM SANTA MARIA (AR-MP;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5288;IND;;2221;1993;AO SR. PREFEITO ASSUNTO: LINHA DE ÔNIBUS, LOCAL: JD. MAIA,BAIRRO: JD. MAIA.;;LINHA DE ONIBUS;;AR-MP;JARDIM MAIA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5289;IND;;2222;1993;AO SR. PREFEITO ASSUNTO: ASFALTO, LOCAL: JD. MAIA, BAIRRO: JD. MAIA.;;PAVIMENTACAO;;AR-MP;JARDIM MAIA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5290;IND;;2223;1993;AO SR. PREFEITO ASSUNTO: ESGOTO,LOCAL: JD. MAIA SÃO MIGUEL PAULISTA.;;REDE DE ESGOTO;;AR-MP;JARDIM MAIA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5310;IND;;2243;1993;AO SR. PREFEITO ASSUNTO: ILUMINAÇÃO PÚBLICA, LOCAL: VILA IARA BAIRRO: PIRITUBA.;;PIRITUBA/AR PIRITUBA/JARAGUAILUMINACAO PUBLICA;;;VILA IARA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5355;IND;;2288;1993;AO EXECUTIVO MUNICIPAL ASSUNTO: IMPLANTAÇÃO DE UM POSTO DE SAÚDE NO JD. STA. CRUZ.;;POSTO DE SAUDE;;AR-FO;JARDIM SANTA CRUZ (AR-FO);HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
5357;IND;;2290;1993;AO EXECUTIVO MUNICIPAL ASSUNTO: CANALIZAÇÃO DO CÓRREGO GUARAÚ, TRECHO DA VILA DIONÍSIA ATÉ O JD. PERI.;;ARRUAMENTO/CANALIZACAO DE CORREGOCORREGO GUARAU;;;VILA NOVA CACHOEIRINHA;HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
5383;IND;;2316;1993;AO SR. PREFEITO ASSUNTO: ILUMINAÇÃO PÚBLICA, LOCAL: RUA PARTICULAR, BAIRRO: VILA FORMOSA.;;RUA PARTICULARILUMINACAO PUBLICA;;AR-MO;VILA FORMOSA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5404;IND;;2337;1993;AO SR. PREFEITO ASSUNTO: REDE DE ESGOTO, LOCAL: JD. VARGINHA.;;REDE DE ESGOTO;;AR-CS;JARDIM VARGINHA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5413;IND;;2346;1993;SR. PREFEITO / ESCOLA MUNICIPAL NO JD. VARGINHA, CAPELA DO SOCORRO, AR/SANTO AMARO;;ESCOLA MUNICIPAL;;AR-CS;JARDIM VARGINHA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5414;IND;;2347;1993;SR. PREFEITO / POSTO DE SAUDE NO JD. VARGINHA,CAPELA DO SOCORRO, AR/SANTO AMARO;;POSTO DE SAUDE;;AR-CS;JARDIM VARGINHA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5417;IND;;2350;1993;SR. PREFEITO / LINHA DE ONIBUS LIGANDO JD. VARGINHA-PINHEIROS, JD. VARGINHA, CAPELA DO SOCORRO, AR/SANTO AMARO;;PINHEIROSLINHA DE ONIBUS;;AR-CS;JARDIM VARGINHA;NELLO RODOLPHO GIONGO FILHO;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
5432;IND;;2365;1993;SR. PREFEITO / CANALIZACAO DO CORREGO GUARAU, BAIRRO JD. PERI, AR /FO;;CORREGO GUARAUCANALIZACAO DE CORREGO;;AR-FO;JARDIM PERI;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
5648;IND;;2581;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE AGÊNCIA FUNERÁRIA, LOCAL VELÓRIO DA VILA FORMOSA, BAIRRO: VILA FORMOSA.;;AGENCIA FUNERARIAVELORIO DE VILA FORMOSA;;AR-MO;VILA FORMOSA;ANTONIO DE PAIVA MONTEIRO Fo.;PARTIDO DA REPÚBLICA
5656;IND;;2589;1993;AO SR. PREFEITO ASSUNTO: COLOCAÇÃO DE GRADES, LOCAL: PONTE DO PARQUE NOVO MUNDO, BAIRRO: PARQUE NOVO MUNDO.;;PONTEGRADE DE PROTECAO;;AR-MG;PARQUE NOVO MUNDO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
5659;IND;;2592;1993;SR. PREFEITO CANALIZAÇÃO DO CÓRREGO NOVO MUNDO - AR-VM-VG;;CANALIZACAO DE CORREGOCORREGO NOVO MUNDO;;AR-MG;PARQUE NOVO MUNDO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
5663;IND;;2596;1993;SR. PREFEITO IMPLANTAÇÃO DE UMA LINHA DE ÔNIBUS LIGANDO A PENHA A LAPA, PASSANDO PELO PARQUE NOVO MUNDO E PELA MARGINAL DO TIETÊ;;LAPA/LINHA DE ONIBUS/PENHAMARGINAL DO RIO TIETE;;;PARQUE NOVO MUNDO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
5679;IND;;2612;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO DE UM CENTRO CULTURAL OU UMA BIBLIOTECA NO BAIRRO DO PARQUE NOVO MUNDO.;;CENTRO CULTURALBIBLIOTECA PUBLICA;;AR-MG;PARQUE NOVO MUNDO;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
5702;IND;;2635;1993;SR. PREFEITO CONSTRUÇÃO DE UM MINI-CEASA. LOCAL: C.A.E.C., BAIR RO C.A.E. CARVALHO, AR-PE;;MINI CEASA;;AR-PE;CIDADE A. E. CARVALHO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5705;IND;;2638;1993;SR. PREFEITO CONSTRUÇÃO DE UM CLUB DESPORTIVO MUNICIPAL NO JD. DAS CARMELITAS, DISTRITO CIDADE LIDER, AR-PE;;JARDIM DAS CARMELITASCLUBE DESPORTIVO MUNICIPAL;;AR-PE;CIDADE LIDER;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5707;IND;;2640;1993;SR. PREFEITO CONSTRUÇÃO DE UM HOSPITAL DIA EM SAÚDE MENTAL, DIS TRITO V. MATILDE,CHÁCARA 6 DE OUTUBRO, AR-PE;;VILA MATILDE (DISTRITO)HOSPITAL DIA EM SAUDE MENTAL;;AR-PE;CHACARA SEIS DE OUTUBRO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5708;IND;;2641;1993;SR. PREFEITO CONSTRUÇÃO DE UM HOSPITAL DIA EM SAÚDE MENTAL, DIS TRITO V. CURUÇA, PARQUE SANTA RITA, AR-MP;;HOSPITAL DIA EM SAUDE MENTALVILA CURUCA (DISTRITO);;AR-MP;PARQUE SANTA RITA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5709;IND;;2642;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL EM SAÚDE MENTAL, LOCAL: CIDADE DUTRA, BAIRRO: BONITO.;;RIO BONITOHOSPITAL DIA EM SAUDE MENTAL;;AR-CS;CIDADE DUTRA (DISTRITO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5710;IND;;2643;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL DIA EM SAÚDE MENTAL, LOCAL: DISTRITO JD. SÃO LUIZ, BAIRRO: JD. MONTE AZUL.;;JARDIM MONTE AZULHOSPITAL DIA EM SAUDE MENTAL;;AR-CL;JARDIM SAO LUIS (DISTRITO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5711;IND;;2644;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL DIA EM SAÚDE MENTAL, LOCAL: VILA MEDEIROS, BAIRRO: JD. BRASIL.;;HOSPITAL DIA EM SAUDE MENTALJARDIM BRASIL (AR-MG);;AR-MG;VILA MEDEIROS (DISTRITO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5712;IND;;2645;1993;AO SR. PREFEITO ASSUNTO: COSNTRUÇÃO DE UM HOSPITAL DIA EM SAÚDE MENTAL, LOCAL: DISTRITO FREGUESIA DE Ó, BAIRRO: JD. MONJOLO.;;HOSPITAL DIA EM SAUDE MENTALFREGUESIA DO O (DISTRITO);;AR-FO;JARDIM MONJOLO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5713;IND;;2646;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃODE UM HOSPITAL DIA EM SAÚDE MENTAL, LOCAL: DISTRITO SÃO DOMINGOS, BAIRRO:PARQUE SÃO DOMINGOS.;;SAO DOMINGOS (DISTRITO)/AR PIRITUBA/JARAGUAHOSPITAL DIA EM SAUDE MENTAL;;;PARQUE SAO DOMINGOS;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5714;IND;;2647;1993;AO SR. PREFEITO ASSUNTO: COSNTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO JD. ANGELA, BAIRRO: JD. GUARUJÁ.;;JARDIM ANGELA (DISTRITO)/PRONTO SOCORRO MUNICIPALHOSPITAL MUNICIPAL;;AR-CL;JARDIM GUARUJA (SANTO AMA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5715;IND;;2648;1993;AO SR. PREFEITO ASSUNTO: COSNTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO CAMPO GRANDE, BAIRRO: VILA SÃO PEDRO.;;CAMPO GRANDE (DISTRITO)/PRONTO SOCORRO MUNICIPALHOSPITAL MUNICIPAL;;AR-SA;VILA SAO PEDRO (AR-SA);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5716;IND;;2649;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO DE GRAJAÚ, BAIRRO: PARQUE GRAJAÚ.;;PRONTO SOCORRO MUNICIPAL/HOSPITAL MUNICIPALGRAJAU (DISTRITO);;AR-CS;PARQUE GRAJAU;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5717;IND;;2650;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO DA LAPA, BAIRRO: VILA ROMANA.;;PRONTO SOCORRO MUNICIPAL/HOSPITAL MUNICIPALLAPA (DISTRITO);;AR-LA;VILA ROMANA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5718;IND;;2651;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO DSOCORRO, LOCAL: DISTRITO DE SANTANA, BAIRRO: VILA PAULICEIA.;;PRONTO SOCORRO MUNICIPAL/SANTANA (DISTRITO)HOSPITAL MUNICIPAL;;AR-ST;VILA PAULICEIA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5719;IND;;2652;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO NOVA MAZZEI.;;HOSPITAL MUNICIPAL/PRONTO SOCORRO MUNICIPALTUCURUVI (DISTRITO);;AR-ST;VILA NOVA MAZZEI;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5720;IND;;2653;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO DE CANGAIBA, BAIRRO: RUI BARBOSA.;;PRONTO SOCORRO MUNICIPAL/CANGAIBA (DISTRITO)HOSPITAL MUNICIPAL;;AR-PE;VILA RUI BARBOSA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5721;IND;;2654;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO PARQUE DO CARMO, BAIRRO: JD. NOSSA SENHORA DO CARMO.;;JARDIM NOSSA SENHORA DO CARMO (AR-IQ)HOSPITAL MUNICIPAL/PRONTO SOCORRO MUNICIPAL;;AR-IQ;PARQUE DO CARMO (DISTRITO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5723;IND;;2656;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM HOSPITAL COM PRONTO SOCORRO, LOCAL: DISTRITO JD. HELENA, BAIRRO: PARQUE PAULISTANO.;;HOSPITAL MUNICIPALPRONTO SOCORRO MUNICIPAL;;AR-MP;JARDIM HELENA (DISTRITO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5725;IND;;2658;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL VILA SÔNIA, BAIRRO: VILA MORSE.;;POSTO DE SAUDEVILA SONIA (DISTRITO);;AR-BT;VILA MORSE;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5727;IND;;2660;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL SÃO DOMINGOS, BAIRRO: JD. MANGALOT.;;AR PIRITUBA/JARAGUA/POSTO DE SAUDESAO DOMINGOS (DISTRITO);;;JARDIM MANGALOT;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5728;IND;;2661;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL LIMÃO, BAIRRO: JD. PRIMAVERA.;;POSTO DE SAUDELIMAO (DISTRITO);;AR-FO;JARDIM PRIMAVERA (AR-FO);MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5730;IND;;2663;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL JARAGUA, BAIRRO: PARQUE PANAMERICANO.;;AR PIRITUBA/JARAGUA/JARAGUA (DISTRITO)POSTO DE SAUDE;;;PARQUE PANAMERICANO;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5731;IND;;2664;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL PERUS, BAIRRO: VILA PERUS.;;POSTO DE SAUDEPERUS (DISTRITO);;AR-PR;VILA PERUS;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5732;IND;;2665;1993;AO SR. PREFEITO ASSUNTO: INSTALAÇÃO DE UM POSTO DE SAÚDE, LOCAL ANHANGUERA, BAIRRO: JD. ANHANGUERA.;;POSTO DE SAUDEANHANGUERA (DISTRITO);;AR-PR;JARDIM ANHANGUERA;MARIO MASANOBU NODA;PARTIDO TRABALHISTA BRASILEIRO
5944;IND;;2877;1993;AO SR. PREFEITO ASSUNTO: PLACAS INDICATIVAS PARA CIDADE SATÉLITE A.R. DE SÃO MATHEUS.;;PLACA INFORMATIVASINALIZACAO DE TRANSITO;;AR-SM;CIDADE SATELITE SANTA BAR;ARCHIBALDO FENICIO ZANCRA;PARTIDO LIBERAL
5996;IND;;2929;1993;AO SR. PREFEITO ASSUNTO: PAVIMENTAÇÃO ASFÁLTICA DA RUA PARTICULAR, JD. FANGANIELLI.;;RUA PARTICULAR/PAVIMENTACAOGUAIANASES;;AR-IQ;JARDIM FANGANIELLO;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
5998;IND;;2931;1993;AO EXECUTIVO MUNICIPAL ASSUNTO: CANALIZAÇÃO DO CÓRREGO ALVINA NO JARDIM SANTA CRUZ.;;CORREGO ALVINACANALIZACAO DE CORREGO;;AR-FO;JARDIM SANTA CRUZ (AR-FO);HANNA GHARIB;PARTIDO PROGRESSISTA BRASILEIRO
6008;IND;;2941;1993;SR. PREFEITO ILUMINACAO NA RUA PARTICULAR, BAIRRO DE V. NILO, AR/ST;;RUA PARTICULARILUMINACAO PUBLICA;;AR-ST;VILA NILO;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
6022;IND;;2955;1993;SR. PREFEITO / EXTENSAO DA REDE DE AGUA PARA A RUA PARTICULAR, VILA NILO, AR/ST;;RUA PARTICULARREDE DE AGUA;;AR-ST;VILA NILO;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
6026;IND;;2959;1993;SR. PREFEITO / LIMPEZA PUBLICA DAS VIDAS DA CIDADE TIRADENTES, AR GUAIANAZES;;LIMPEZA PUBLICA;;AR-IQ;CIDADE TIRADENTES;ARNALDO DE ABREU MADEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
6130;IND;;3063;1993;AO SR. PREFEITO ASSUNTO: LIMPEZA DE CÓRREGO, LOCAL: ÁGUA PODRE BAIRRO: RIO PEQUENO.;;LIMPEZA DE CORREGORIO PEQUENO;;AR-BT;AGUA PODRE (BAIRRO);WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6143;IND;;3076;1993;AO SR. PREFEITO ASSUNTO: CANALIZAÇÃO DE CÓRREGO, LOCAL: CÓRREGO ÁGUA VERMELHA, BAIRRO: VILA INDUSTRIAL.;;CANALIZACAO DE CORREGOCORREGO AGUA VERMELHA (AR-VP);;AR-VP;VILA INDUSTRIAL;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6144;IND;;3077;1993;AO SR. PREFEITO ASSUNTO: CONCLUSÃO DE CRECHE, LOCAL: CRECHE DO PARQUE STA. MADALENA, BAIRRO: PARQUE STA. MADALENA.;;CRECHECRECHE MUNICIPAL PARQUE SANTA MADALENA;;AR-VP;PARQUE SANTA MADALENA;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6146;IND;;3079;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE ESCOLA, LOCAL: BAIRRO ALTOS DE VILA PRUDENTE, BAIRRO: ALTOS DE VILA PRUDENTE.;;ESCOLA MUNICIPAL;;AR-VP;ALTOS DE VILA PRUDENTE;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6152;IND;;3085;1993;AO SR. PREFEITO ASSUNTO: RESTAURAÇÃO DE CERCAS, LOCAL: CREMATÓRIO DE VILA ALPINA.;;CERCACREMATORIO;;AR-VP;VILA ALPINA;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6153;IND;;3086;1993;AO SR. PREFEITO ASSUNTO: ARBORIZAÇÃO E PLANTIO DE GRAMA, LOCAL: CREMATÓRIO DE VILA ALPINA.;;GRAMA/ARBORIZACAOCREMATORIO;;AR-VP;VILA ALPINA;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6163;IND;;3096;1993;SR. PREFEITO VARRICAO DAS RUAS DA VILA PALMEIRAS, VILA PALMEIRA S, AR/FO;;VARRICAO;;AR-FO;VILA PALMEIRA;WADIH JORGE MUTRAN;PARTIDO DEMOCRATICO TRABALHISTA
6189;IND;;3122;1993;SR. PREFEITO LIMPEZA DE MATOS ALTOS DAS MARGES DO CORREGO DO TI JUCO PRETO, JD. DAS OLIVEIRAS, ITAIM PAULISTA;;CAPINA/ITAIM PAULISTACORREGO TIJUCO PRETO;;AR-MP;JARDIM DAS OLIVEIRAS (AR-;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6190;IND;;3123;1993;SR. PREFEITO LIMPEZA DE MATOS ALTOS DAS MARGENS DO CORREGO LAGE ADO, JD. CAMPOS, ITAIM PAULISTA;;ITAIM PAULISTA/CAPINACORREGO LAJEADO;;AR-MP;JARDIM CAMPOS;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6203;IND;;3136;1993;SR. PREFEITO IMPLANTACAO DE BIBLIOTECAS PUBLICAS E INFANTO JUVE NIS NA ZONA NORTE, JD. TREMEMBE, JACANA E VILA MAZZEI;;BIBLIOTECA PUBLICA/JACANABIBLIOTECA INFANTO JUVENIL;;;VILA MAZZEI;JOSE COSME LOPES LIMA;PARTIDO PROGRESSISTA BRASILEIRO
6237;IND;;3170;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE POSTO DE SAÚDE, LOCAL: EM ÁREA DISPONIVEL PERTENCENTE AO MUNICÍPIO, BAIRRO: JD. LUCÉLIA CAPELA DO SOCORRO.;;POSTO DE SAUDE;;AR-CS;JARDIM LUCELIA;DALMO PESSOA DE ALMEIDA;PART.DO MOVIMENTO DEMOCRATICO BRASILEIRO
6258;IND;;3191;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAR UMA BIBLIOTECA PÚBLICA NO BAIRRO DE VILA NOVA CACHOEIRINHA.;;BIBLIOTECA PUBLICA;;AR-FO;VILA NOVA CACHOEIRINHA;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
6259;IND;;3192;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAR UMA BIBLIOTECA PÚBLICA NO BAIRRO DE PERUS.;;BIBLIOTECA PUBLICA;;AR-PR;PERUS (BAIRRO);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
6260;IND;;3193;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO EM PERUS DE ÁREA DESTINADA À CONSTRUÇÃO DE UM CENTRO INDUSTRIAL NÃO POLUENTE, PARA CRIAR-SE FRENTES DE TRABALHO.;;CENTRO INDUSTRIAL DO DISTRITO DE PERUSINDUSTRIA/MERCADO DE TRABALHO;;;PERUS (BAIRRO);JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
6269;IND;;3202;1993;SR. PRFEITO CONSTRUCAO DE UM POSTO DE SAUDE MUNICIPAL, PARA OS MORADORES DO JD. ELISA MARIA, V.N.CACHOEIRINHA;;VILA NOVA CACHOEIRINHAPOSTO DE SAUDE;;AR-FO;JARDIM ELISA MARIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6271;IND;;3204;1993;SR. PREFEITO CONSTRUCAO DE UMA CRECHE, PARA OS MORADORES DO JD. ELISA MARIA, NA V.N.CACHOEIRINHA;;CRECHEJARDIM ELISA MARIA;;AR-FO;VILA NOVA CACHOEIRINHA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6272;IND;;3205;1993;SR. PREFEITO CONSTRUCAO DE UM CENTRO DA JUVENTUDE, PARA O JD. ELISA MARIA, V.N.CACHOEIRINHA;;JARDIM ELISA MARIACENTRO DA JUVENTUDE;;AR-FO;VILA NOVA CACHOEIRINHA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6277;IND;;3210;1993;SR. PREFEITO IMPLANTACAO DE UM SACOLAO MUNICIPAL, PARA VILA SIL VIA, NO ERMELINO MATARAZZO;;ERMELINO MATARAZZOSACOLAO;;AR-PE;VILA SILVIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6278;IND;;3211;1993;SR. PREFEITO IMPLANTACAO DE UM SACOLAO MUNICIPAL, PARA JD. ELISA MARIA, V.N.CACHOEIRINHA;;VILA NOVA CACHOEIRINHASACOLAO;;AR-FO;JARDIM ELISA MARIA;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6337;IND;;3270;1993;SR. PREFEITO CONSTRUCAO DE UMA CRECHE PARA OS MORADORES DO JD. MAGDALENA II;;CRECHE;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6347;IND;;3280;1993;AO PRESIDENTE DA SABESP ASSUNTO: PROLONGAMENTO DA REDE DE ÁGUA, NO JARDIM PAULISTA II VILA BRASILÂNDIA.;;REDE DE AGUAVILA BRASILANDIA;;AR-FO;JARDIM PAULISTANO II;JOSE VIVIANI FERRAZ;PARTIDO LIBERAL
6361;IND;;3294;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UMA ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL, PARA O MORADORES, DO JD. MAGDALENA II.;;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6362;IND;;3295;1993;AO SR. PREFEITO ASSUNTO: IMPLANTAÇÃO DE UM SACOLÃO MUNICIPAL, PARA O JD. MAGDALENA II.;;SACOLAO;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6363;IND;;3296;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CENTRO DE JUVENTUDE PARA OS MORADORES DO JD. MAGDALENA II.;;CENTRO DA JUVENTUDE;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6364;IND;;3297;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CENTRO DE CONVIVÊNCIA PARA OS MORADORES DO JD. MAGDALENA II.;;CENTRO DE CONVIVENCIA;;AR-CL;JARDIM MADALENA II;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
6365;IND;;3298;1993;AO SR. PREFEITO ASSUNTO: CONSTRUÇÃO DE UM CAMPO DE FUTEBOL, NA ÁREA DO MUNICIPIO QUE FICA LOCALIZADO ENTRE AS RUAS PARTICULARES, TRAVESSA DA RUA CHICO MENDES E RUA SÃO JORGE, BAIRRO VILA SANTANA DO AGRESTE, JD. CAMARGO VELHO, ITAIM PAULISTA.;;ITAIM PAULISTA/AREA MUNICIPALCAMPO DE FUTEBOL;;;JARDIM CAMARGO VELHO;MANOEL DE OLIVEIRA SALA;PARTIDO PROGRESSISTA BRASILEIRO
